node_id,node_type,service_name,environment,region,zone,host_id,container_id,version,cpu_capacity,memory_capacity,replica_count,criticality,scenario_id,topology_id
gw_01,api_gateway,api_gateway,production,eu-central-1,eu-central-1a,host-328,ct-3286,v3.1.0,2.0,64.0,4,critical,scen_000000,top_0000
lb_01,load_balancer,load_balancer,production,eu-central-1,eu-central-1a,host-130,ct-2535,v1.3.0,2.0,64.0,2,critical,scen_000000,top_0000
auth_01,auth_service,auth_service,production,eu-central-1,eu-central-1c,host-765,ct-9928,v2.3.0,16.0,64.0,3,high,scen_000000,top_0000
web_01,web_service,web_service,production,eu-central-1,eu-central-1a,host-877,ct-3615,v3.6.0,8.0,16.0,2,high,scen_000000,top_0000
db_01,postgresql,postgresql,production,eu-central-1,eu-central-1a,host-881,ct-6514,v1.1.0,16.0,4.0,3,critical,scen_000000,top_0000
sub_svc_2,web_service,sub_service_2,production,eu-central-1,eu-central-1b,host-718,ct-5333,v1.7.0,2.0,32.0,1,low,scen_000000,top_0000
sub_svc_3,web_service,sub_service_3,production,eu-central-1,eu-central-1c,host-400,ct-6925,v3.3.0,2.0,4.0,2,low,scen_000000,top_0000
sub_svc_4,web_service,sub_service_4,production,eu-central-1,eu-central-1b,host-181,ct-4814,v1.6.0,8.0,32.0,3,low,scen_000000,top_0000
node_00,notification_service,mesh_svc_0,production,eu-central-1,eu-central-1a,host-533,ct-7182,v1.0.0,2.0,4.0,1,critical,scen_000003,top_0003
node_01,api_gateway,mesh_svc_1,production,eu-central-1,eu-central-1b,host-163,ct-3660,v3.2.0,4.0,8.0,1,critical,scen_000003,top_0003
node_02,order_service,mesh_svc_2,production,eu-central-1,eu-central-1c,host-845,ct-3966,v3.7.0,2.0,16.0,5,high,scen_000003,top_0003
node_03,user_service,mesh_svc_3,production,eu-central-1,eu-central-1c,host-350,ct-3865,v2.0.0,4.0,4.0,5,medium,scen_000003,top_0003
node_04,load_balancer,mesh_svc_4,production,eu-central-1,eu-central-1c,host-369,ct-6592,v2.8.0,2.0,32.0,2,critical,scen_000003,top_0003
node_05,vm_instance,mesh_svc_5,production,eu-central-1,eu-central-1b,host-344,ct-1536,v3.4.0,8.0,8.0,5,medium,scen_000003,top_0003
node_06,redis,mesh_svc_6,production,eu-central-1,eu-central-1c,host-345,ct-9873,v2.2.0,8.0,32.0,5,medium,scen_000003,top_0003
node_07,elasticsearch,mesh_svc_7,production,eu-central-1,eu-central-1a,host-377,ct-4889,v3.5.0,2.0,64.0,3,critical,scen_000003,top_0003
node_08,order_service,mesh_svc_8,production,eu-central-1,eu-central-1c,host-203,ct-7323,v2.5.0,16.0,4.0,4,low,scen_000003,top_0003
node_09,user_service,mesh_svc_9,production,eu-central-1,eu-central-1c,host-619,ct-6651,v1.1.0,8.0,8.0,1,low,scen_000003,top_0003
node_10,load_balancer,mesh_svc_10,production,eu-central-1,eu-central-1a,host-528,ct-5048,v1.3.0,16.0,64.0,5,low,scen_000003,top_0003
node_11,web_service,mesh_svc_11,production,eu-central-1,eu-central-1c,host-835,ct-1376,v2.6.0,16.0,4.0,1,low,scen_000003,top_0003
node_12,mongodb,mesh_svc_12,production,eu-central-1,eu-central-1b,host-869,ct-4036,v2.0.0,16.0,4.0,1,low,scen_000003,top_0003
node_13,k8s_node,mesh_svc_13,production,eu-central-1,eu-central-1a,host-594,ct-4365,v1.8.0,16.0,32.0,4,low,scen_000003,top_0003
node_14,web_service,mesh_svc_14,production,eu-central-1,eu-central-1a,host-661,ct-1162,v3.0.0,8.0,16.0,4,medium,scen_000003,top_0003
node_15,mysql,mesh_svc_15,production,eu-central-1,eu-central-1a,host-606,ct-4625,v2.4.0,8.0,4.0,5,high,scen_000003,top_0003
node_16,container,mesh_svc_16,production,eu-central-1,eu-central-1c,host-311,ct-4955,v2.9.0,8.0,32.0,5,medium,scen_000003,top_0003
node_17,recommendation_service,mesh_svc_17,production,eu-central-1,eu-central-1b,host-869,ct-9520,v2.7.0,8.0,16.0,2,medium,scen_000003,top_0003
node_18,load_balancer,mesh_svc_18,production,eu-central-1,eu-central-1c,host-699,ct-3981,v2.5.0,4.0,8.0,1,high,scen_000003,top_0003
node_19,rabbitmq,mesh_svc_19,production,eu-central-1,eu-central-1b,host-293,ct-5646,v1.7.0,8.0,32.0,1,low,scen_000003,top_0003
node_20,k8s_node,mesh_svc_20,production,eu-central-1,eu-central-1c,host-681,ct-8858,v1.4.0,16.0,8.0,3,low,scen_000003,top_0003
node_21,object_storage,mesh_svc_21,production,eu-central-1,eu-central-1a,host-842,ct-2347,v1.8.0,2.0,64.0,1,low,scen_000003,top_0003
node_22,vm_instance,mesh_svc_22,production,eu-central-1,eu-central-1a,host-384,ct-4123,v1.1.0,16.0,8.0,5,low,scen_000003,top_0003
