scenario_id,incident_id,root_cause_type,target_node,recommended_action,alternative_actions,action_success_probability,estimated_recovery_time,risk_level,requires_human_approval,is_allowlisted,rollback_available
scen_000000,inc_scen_000000_01,load_balancer_failure,lb_01,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000000,inc_scen_000000_02,container_restart_loop,sub_svc_4,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000001,inc_scen_000001_01,memory_exhaustion,sub_svc_17,restart_service,increase_memory|rollback_deployment,0.95,90,low,False,True,False
scen_000002,inc_scen_000002_01,network_latency,node_31,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000003,inc_scen_000003_01,kubernetes_node_failure,node_02,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000004,inc_scen_000004_01,load_balancer_failure,redis_01,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000006,inc_scen_000006_01,memory_leak,node_12,restart_service,rollback_deployment|increase_memory,0.98,90,low,False,True,False
scen_000006,inc_scen_000006_02,configuration_error,node_17,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000008,inc_scen_000008_01,dependency_timeout,ecom_aux_1,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000008,inc_scen_000008_02,database_connection_exhaustion,ecom_aux_7,increase_connection_pool,restart_application|scale_database,0.94,120,medium,True,True,True
scen_000009,inc_scen_000009_01,database_slow_queries,db_event,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000010,inc_scen_000010_01,database_outage,consumer_8,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000011,inc_scen_000011_01,cpu_saturation,consumer_12,scale_out_service,restart_container|increase_cpu_limit,0.92,180,low,False,True,True
scen_000012,inc_scen_000012_01,external_api_failure,search_node_24,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000013,inc_scen_000013_01,network_latency,ecom_aux_14,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000014,inc_scen_000014_01,storage_failure,consumer_14,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000014,inc_scen_000014_02,authentication_failure,consumer_1,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000015,inc_scen_000015_01,external_api_failure,sub_svc_16,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000016,inc_scen_000016_01,network_latency,search_node_10,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000017,inc_scen_000017_01,deadlock,ecom_aux_1,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000019,inc_scen_000019_01,redis_failure,node_13,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000021,inc_scen_000021_01,packet_loss,search_node_29,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000022,inc_scen_000022_01,cpu_saturation,ingest_01,scale_out_service,restart_container|increase_cpu_limit,0.92,180,low,False,True,True
scen_000023,inc_scen_000023_01,deadlock,sub_svc_6,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000024,inc_scen_000024_01,kubernetes_pod_failure,consumer_3,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000025,inc_scen_000025_01,cpu_saturation,ecom_aux_2,scale_out_service,restart_container|increase_cpu_limit,0.92,180,low,False,True,True
scen_000026,inc_scen_000026_01,kubernetes_pod_failure,ecom_aux_15,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000027,inc_scen_000027_01,authentication_failure,rec_01,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000028,inc_scen_000028_01,configuration_error,search_node_21,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000028,inc_scen_000028_02,dependency_timeout,search_node_26,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000029,inc_scen_000029_01,kubernetes_pod_failure,node_03,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000029,inc_scen_000029_02,message_queue_backlog,node_06,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000030,inc_scen_000030_01,database_outage,consumer_1,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000030,inc_scen_000030_02,authentication_failure,consumer_5,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000031,inc_scen_000031_01,storage_failure,node_15,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000032,inc_scen_000032_01,dns_failure,node_17,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000033,inc_scen_000033_01,api_rate_limiting,node_09,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000034,inc_scen_000034_01,memory_exhaustion,consumer_14,restart_service,increase_memory|rollback_deployment,0.95,90,low,False,True,False
scen_000035,inc_scen_000035_01,api_rate_limiting,node_16,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000037,inc_scen_000037_01,memory_exhaustion,ecom_aux_19,restart_service,increase_memory|rollback_deployment,0.95,90,low,False,True,False
scen_000038,inc_scen_000038_01,database_connection_exhaustion,node_07,increase_connection_pool,restart_application|scale_database,0.94,120,medium,True,True,True
scen_000039,inc_scen_000039_01,storage_failure,db_master,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000039,inc_scen_000039_02,external_api_failure,ecom_aux_20,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000040,inc_scen_000040_01,certificate_expiration,consumer_8,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000040,inc_scen_000040_02,authentication_failure,consumer_11,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000041,inc_scen_000041_01,database_slow_queries,node_02,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000042,inc_scen_000042_01,traffic_spike,ecom_aux_15,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000043,inc_scen_000043_01,kubernetes_node_failure,search_node_15,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000044,inc_scen_000044_01,disk_exhaustion,node_01,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000046,inc_scen_000046_01,api_rate_limiting,ecom_aux_9,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000047,inc_scen_000047_01,database_connection_exhaustion,search_node_5,increase_connection_pool,restart_application|scale_database,0.94,120,medium,True,True,True
scen_000049,inc_scen_000049_01,traffic_spike,ecom_aux_17,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
