scenario_id,incident_id,root_cause_id,root_cause_type,root_cause_node,root_cause_service
scen_000000,inc_scen_000000_01,rc_inc_scen_000000_01,load_balancer_failure,lb_01,load_balancer
scen_000000,inc_scen_000000_02,rc_inc_scen_000000_02,container_restart_loop,sub_svc_4,sub_service_4
scen_000001,inc_scen_000001_01,rc_inc_scen_000001_01,memory_exhaustion,sub_svc_17,sub_service_17
scen_000002,inc_scen_000002_01,rc_inc_scen_000002_01,network_latency,node_31,mesh_svc_31
scen_000003,inc_scen_000003_01,rc_inc_scen_000003_01,kubernetes_node_failure,node_02,mesh_svc_2
scen_000004,inc_scen_000004_01,rc_inc_scen_000004_01,load_balancer_failure,redis_01,redis
scen_000006,inc_scen_000006_01,rc_inc_scen_000006_01,memory_leak,node_12,mesh_svc_12
scen_000006,inc_scen_000006_02,rc_inc_scen_000006_02,configuration_error,node_17,mesh_svc_17
scen_000008,inc_scen_000008_01,rc_inc_scen_000008_01,dependency_timeout,ecom_aux_1,user_service_1
scen_000008,inc_scen_000008_02,rc_inc_scen_000008_02,database_connection_exhaustion,ecom_aux_7,user_service_7
scen_000009,inc_scen_000009_01,rc_inc_scen_000009_01,database_slow_queries,db_event,mysql
scen_000010,inc_scen_000010_01,rc_inc_scen_000010_01,database_outage,consumer_8,kafka_consumer_8
scen_000011,inc_scen_000011_01,rc_inc_scen_000011_01,cpu_saturation,consumer_12,kafka_consumer_12
scen_000012,inc_scen_000012_01,rc_inc_scen_000012_01,external_api_failure,search_node_24,search_aux_24
scen_000013,inc_scen_000013_01,rc_inc_scen_000013_01,network_latency,ecom_aux_14,user_service_14
scen_000014,inc_scen_000014_01,rc_inc_scen_000014_01,storage_failure,consumer_14,kafka_consumer_14
scen_000014,inc_scen_000014_02,rc_inc_scen_000014_02,authentication_failure,consumer_1,kafka_consumer_1
scen_000015,inc_scen_000015_01,rc_inc_scen_000015_01,external_api_failure,sub_svc_16,sub_service_16
scen_000016,inc_scen_000016_01,rc_inc_scen_000016_01,network_latency,search_node_10,search_aux_10
scen_000017,inc_scen_000017_01,rc_inc_scen_000017_01,deadlock,ecom_aux_1,user_service_1
scen_000019,inc_scen_000019_01,rc_inc_scen_000019_01,redis_failure,node_13,mesh_svc_13
scen_000021,inc_scen_000021_01,rc_inc_scen_000021_01,packet_loss,search_node_29,search_aux_29
scen_000022,inc_scen_000022_01,rc_inc_scen_000022_01,cpu_saturation,ingest_01,ingestion_gateway
scen_000023,inc_scen_000023_01,rc_inc_scen_000023_01,deadlock,sub_svc_6,sub_service_6
scen_000024,inc_scen_000024_01,rc_inc_scen_000024_01,kubernetes_pod_failure,consumer_3,kafka_consumer_3
scen_000025,inc_scen_000025_01,rc_inc_scen_000025_01,cpu_saturation,ecom_aux_2,user_service_2
scen_000026,inc_scen_000026_01,rc_inc_scen_000026_01,kubernetes_pod_failure,ecom_aux_15,user_service_15
scen_000027,inc_scen_000027_01,rc_inc_scen_000027_01,authentication_failure,rec_01,recommendation_service
scen_000028,inc_scen_000028_01,rc_inc_scen_000028_01,configuration_error,search_node_21,search_aux_21
scen_000028,inc_scen_000028_02,rc_inc_scen_000028_02,dependency_timeout,search_node_26,search_aux_26
scen_000029,inc_scen_000029_01,rc_inc_scen_000029_01,kubernetes_pod_failure,node_03,mesh_svc_3
scen_000029,inc_scen_000029_02,rc_inc_scen_000029_02,message_queue_backlog,node_06,mesh_svc_6
scen_000030,inc_scen_000030_01,rc_inc_scen_000030_01,database_outage,consumer_1,kafka_consumer_1
scen_000030,inc_scen_000030_02,rc_inc_scen_000030_02,authentication_failure,consumer_5,kafka_consumer_5
scen_000031,inc_scen_000031_01,rc_inc_scen_000031_01,storage_failure,node_15,mesh_svc_15
scen_000032,inc_scen_000032_01,rc_inc_scen_000032_01,dns_failure,node_17,mesh_svc_17
scen_000033,inc_scen_000033_01,rc_inc_scen_000033_01,api_rate_limiting,node_09,mesh_svc_9
scen_000034,inc_scen_000034_01,rc_inc_scen_000034_01,memory_exhaustion,consumer_14,kafka_consumer_14
scen_000035,inc_scen_000035_01,rc_inc_scen_000035_01,api_rate_limiting,node_16,mesh_svc_16
scen_000037,inc_scen_000037_01,rc_inc_scen_000037_01,memory_exhaustion,ecom_aux_19,user_service_19
scen_000038,inc_scen_000038_01,rc_inc_scen_000038_01,database_connection_exhaustion,node_07,mesh_svc_7
scen_000039,inc_scen_000039_01,rc_inc_scen_000039_01,storage_failure,db_master,postgresql
scen_000039,inc_scen_000039_02,rc_inc_scen_000039_02,external_api_failure,ecom_aux_20,user_service_20
scen_000040,inc_scen_000040_01,rc_inc_scen_000040_01,certificate_expiration,consumer_8,kafka_consumer_8
scen_000040,inc_scen_000040_02,rc_inc_scen_000040_02,authentication_failure,consumer_11,kafka_consumer_11
scen_000041,inc_scen_000041_01,rc_inc_scen_000041_01,database_slow_queries,node_02,mesh_svc_2
scen_000042,inc_scen_000042_01,rc_inc_scen_000042_01,traffic_spike,ecom_aux_15,user_service_15
scen_000043,inc_scen_000043_01,rc_inc_scen_000043_01,kubernetes_node_failure,search_node_15,search_aux_15
scen_000044,inc_scen_000044_01,rc_inc_scen_000044_01,disk_exhaustion,node_01,mesh_svc_1
scen_000046,inc_scen_000046_01,rc_inc_scen_000046_01,api_rate_limiting,ecom_aux_9,user_service_9
scen_000047,inc_scen_000047_01,rc_inc_scen_000047_01,database_connection_exhaustion,search_node_5,search_aux_5
scen_000049,inc_scen_000049_01,rc_inc_scen_000049_01,traffic_spike,ecom_aux_17,user_service_17
scen_000050,inc_scen_000050_01,rc_inc_scen_000050_01,database_connection_exhaustion,kafka_broker,kafka
scen_000051,inc_scen_000051_01,rc_inc_scen_000051_01,disk_exhaustion,node_22,mesh_svc_22
scen_000052,inc_scen_000052_01,rc_inc_scen_000052_01,kafka_broker_failure,ingest_01,ingestion_gateway
scen_000053,inc_scen_000053_01,rc_inc_scen_000053_01,network_latency,sub_svc_3,sub_service_3
scen_000054,inc_scen_000054_01,rc_inc_scen_000054_01,dns_failure,consumer_31,kafka_consumer_31
scen_000057,inc_scen_000057_01,rc_inc_scen_000057_01,database_connection_exhaustion,ecom_aux_11,user_service_11
scen_000058,inc_scen_000058_01,rc_inc_scen_000058_01,memory_exhaustion,sub_svc_28,sub_service_28
scen_000060,inc_scen_000060_01,rc_inc_scen_000060_01,cpu_saturation,search_node_28,search_aux_28
scen_000060,inc_scen_000060_02,rc_inc_scen_000060_02,database_connection_exhaustion,search_node_27,search_aux_27
scen_000061,inc_scen_000061_01,rc_inc_scen_000061_01,cpu_saturation,ecom_aux_4,user_service_4
scen_000062,inc_scen_000062_01,rc_inc_scen_000062_01,kafka_broker_failure,node_08,mesh_svc_8
scen_000065,inc_scen_000065_01,rc_inc_scen_000065_01,dependency_timeout,consumer_14,kafka_consumer_14
scen_000066,inc_scen_000066_01,rc_inc_scen_000066_01,certificate_expiration,node_08,mesh_svc_8
scen_000067,inc_scen_000067_01,rc_inc_scen_000067_01,database_connection_exhaustion,db_event,mysql
scen_000068,inc_scen_000068_01,rc_inc_scen_000068_01,dns_failure,ecom_aux_21,user_service_21
